TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.API.OnDriver.OnDriverApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666667,18,16
com.API.OnDriver.CustomerSubsystem.Rating,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9070626477541371,95,93
com.API.OnDriver.CustomerSubsystem.Passenger,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8913479398851739,228,219
com.API.OnDriver.CustomerSubsystem.User,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9779411764705882,87,84
com.API.OnDriver.CustomerSubsystem.Admin,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8728386809269162,150,145
com.API.OnDriver.CustomerSubsystem.Driver,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8818181818181818,314,299
com.API.OnDriver.DataSubsystem.ListManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8907041540020264,490,461
com.API.OnDriver.RideSubsystem.Ride,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8932308970099667,183,173
com.API.OnDriver.RideSubsystem.Offer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8660256410256411,166,155
com.API.OnDriver.EventSubsystem.Event,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,71,69
com.API.OnDriver.EventSubsystem.IDateTime,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8789285714285714,64,61
