TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.lyubenblagoev.postfixrest.FileUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7803643724696356,55,38
com.lyubenblagoev.postfixrest.Application,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
com.lyubenblagoev.postfixrest.controller.ApiErrorResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,47,45
com.lyubenblagoev.postfixrest.controller.DeviceInformationConverter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13958333333333334,170,5
com.lyubenblagoev.postfixrest.security.CustomUserDetailsService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8819444444444444,23,21
com.lyubenblagoev.postfixrest.security.CustomUserDetailsPasswordService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8819444444444444,24,23
com.lyubenblagoev.postfixrest.security.JwtAuthenticationToken,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9642857142857143,31,29
com.lyubenblagoev.postfixrest.security.JwtAuthenticationProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6541666666666667,39,32
com.lyubenblagoev.postfixrest.security.RefreshTokenProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7875,40,39
com.lyubenblagoev.postfixrest.security.DefaultAdminUserInitializer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9043650793650794,63,58
