TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.camunda.community.zeebe.testutils.ZeebeWorkerAssertions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,12,11
org.camunda.community.zeebe.testutils.ActivatedJobStubAssert,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5650105708245243,148,133
org.camunda.community.zeebe.testutils.stubs.CompleteJobCommandStep1Stub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,43,42
org.camunda.community.zeebe.testutils.stubs.ZeebeFutureStub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6177884615384616,31,22
org.camunda.community.zeebe.testutils.stubs.JobClientStub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8619186046511628,93,70
org.camunda.community.zeebe.testutils.stubs.FailJobCommandStep2Stub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,50,46
org.camunda.community.zeebe.testutils.stubs.ThrowErrorCommandStep1Stub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,19,18
org.camunda.community.zeebe.testutils.stubs.ActivatedJobStub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375450180072029,413,403
org.camunda.community.zeebe.testutils.stubs.ThrowErrorCommandStep2Stub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,42,39
org.camunda.community.zeebe.testutils.stubs.FailJobCommandStep1Stub,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,22,21
