TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.alkemy.ong.OngApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
com.alkemy.ong.infrastructure.database.mapper.OrganizationMapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,66,65
com.alkemy.ong.infrastructure.rest.response.user.GetUserResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,71,71
com.alkemy.ong.infrastructure.rest.response.user.GetUserDetailsResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,84,84
com.alkemy.ong.infrastructure.rest.response.user.ListUserResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18
com.alkemy.ong.infrastructure.rest.response.user.RegisterUserResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,74,74
com.alkemy.ong.infrastructure.rest.response.user.UpdateUserResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,58,58
com.alkemy.ong.infrastructure.rest.response.user.AuthenticationResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,70,70
com.alkemy.ong.infrastructure.rest.response.news.ListNewsResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18
com.alkemy.ong.infrastructure.rest.response.news.GetNewsResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,70,70
